"","FID","Municipality","idarea","X","Date","n","base","typeI","typeII","typeIII","typeIV"
"7198","9","VIGA",10,836,"2022-09-20",0,1.06355559986154,0.760612580503747,0.364171231122481,1.06346381131486,1.06344751527487
"7199","9","VIGA",10,837,"2022-09-21",0,1.1129701275323,0.783277173624739,0.395061631942641,1.11289545252098,1.11266837182161
"7200","9","VIGA",10,838,"2022-09-22",0,1.15912575011085,0.802216085150766,0.395382306313526,1.15906458745647,1.1603742993715
"7201","9","VIGA",10,839,"2022-09-23",0,1.19866378889641,0.816697002104047,0.313471220492239,1.19849402717229,1.199056925716
"7202","9","VIGA",10,840,"2022-09-24",0,1.21429926610565,0.819755407802319,0.285331079468973,1.21406699256272,1.21416641371733
"7203","9","VIGA",10,841,"2022-09-25",0,1.19615942561989,0.809942184180572,0.289885639051788,1.19590151663405,1.19493661032399
"7204","9","VIGA",10,842,"2022-09-26",0,1.14227320215996,0.786619640824259,0.26488936450398,1.14208192154495,1.13978117875669
"7205","9","VIGA",10,843,"2022-09-27",0,1.06928276817946,0.754056348890949,0.243446372565889,1.06919194875722,1.06894708502283
"7206","9","VIGA",10,844,"2022-09-28",0,0.979059752971557,0.713793045133828,0.221970726808719,0.979020205379818,0.9791154593547
"7207","9","VIGA",10,845,"2022-09-29",0,0.90826415648174,0.682018506958124,0.282494112145209,0.908267162942729,0.909186504942492
"7208","9","VIGA",10,846,"2022-09-30",0,0.843172723776935,0.648373343392976,0.26412683511036,0.843220841941296,0.844448308553665
"7209","9","VIGA",10,847,"2022-10-01",0,0.798966121003604,0.622987761571078,0.251719138929694,0.798992053133656,0.79887320676856
"7210","9","VIGA",10,848,"2022-10-02",0,0.759386399690148,0.599503465702862,0.248628208167022,0.759452255172409,0.759158789810516
"7211","9","VIGA",10,849,"2022-10-03",0,0.733820415227676,0.582718872459993,0.225306474239627,0.733911743471496,0.734582327692859
"7212","9","VIGA",10,850,"2022-10-04",0,0.71788757011908,0.570903165716502,0.174689793843614,0.717939099429744,0.718118049358367
"7213","9","VIGA",10,851,"2022-10-05",0,0.709109021853378,0.562915651400595,0.149280304226639,0.709143121212002,0.709044477230719
"7214","9","VIGA",10,852,"2022-10-06",0,0.706206103955901,0.558022004478168,0.153490986365458,0.706176552593173,0.705512548611267
"7215","9","VIGA",10,853,"2022-10-07",0,0.701678006492545,0.553302677780309,0.14319629276019,0.701646427117152,0.700176138951588
"7216","9","VIGA",10,854,"2022-10-08",0,0.695040108563709,0.548400167238915,0.138944901822394,0.69502773368698,0.694839311468977
"7217","9","VIGA",10,855,"2022-10-09",0,0.685595969452788,0.542954415302663,0.136630114188765,0.685559939122036,0.685630764056888
