Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries
2021-04-19,PANDAN,14.0492274,124.1702111,1.0,0.0,0.0
2021-04-21,VIRAC,13.5803594,124.2312028,0.0,0.0,2.0
2021-04-22,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
2021-04-22,BARAS,13.6591045,124.3704682,0.0,0.0,1.0
2021-04-22,SAN ANDRES,13.5989151,124.0969685,0.0,0.0,1.0
2021-04-22,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0
2021-04-23,SAN MIGUEL,13.6403293,124.3031092,0.0,0.0,1.0
2021-04-23,VIGA,13.8715307,124.3087305,0.0,0.0,1.0
2021-04-23,VIRAC,13.5803594,124.2312028,1.0,0.0,1.0
2021-04-23,CARAMORAN,13.9838351,124.1338718,1.0,0.0,0.0
2021-04-24,CARAMORAN,13.9838351,124.1338718,0.0,0.0,2.0
2021-04-24,PANGANIBAN,13.9081674,124.30082,0.0,0.0,1.0
2021-04-25,BATO,13.6080363,124.2977872,0.0,0.0,1.0
2021-04-25,VIRAC,13.5803594,124.2312028,0.0,0.0,1.0
2021-04-25,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
2021-04-25,BARAS,13.6591045,124.3704682,0.0,0.0,1.0
2021-04-27,BARAS,13.6591045,124.3704682,1.0,0.0,0.0
2021-04-27,BAGAMANOC,13.9396368,124.2878298,2.0,0.0,0.0
2021-04-27,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0
2021-04-28,BAGAMANOC,13.9396368,124.2878298,0.0,0.0,1.0
2021-04-28,VIRAC,13.5803594,124.2312028,0.0,0.0,1.0
2021-04-28,BATO,13.6080363,124.2977872,0.0,0.0,1.0
2021-04-28,PANDAN,14.0492274,124.1702111,0.0,0.0,1.0
2021-04-28,BARAS,13.6591045,124.3704682,1.0,0.0,0.0
2021-04-29,BAGAMANOC,13.9396368,124.2878298,4.0,0.0,0.0
2021-04-29,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2021-04-29,VIRAC,13.5803594,124.2312028,1.0,0.0,0.0
2021-04-30,VIGA,13.8715307,124.3087305,1.0,0.0,0.0
2021-05-01,BARAS,13.6591045,124.3704682,0.0,0.0,1.0
2021-05-01,CARAMORAN,13.9838351,124.1338718,0.0,0.0,1.0
2021-05-01,VIGA,13.8715307,124.3087305,1.0,0.0,0.0
2021-05-02,VIRAC,13.5803594,124.2312028,0.0,0.0,1.0
2021-05-02,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2021-05-02,PANGANIBAN,13.9081674,124.30082,4.0,0.0,0.0
2021-05-02,BAGAMANOC,13.9396368,124.2878298,1.0,0.0,0.0
2021-05-04,SAN ANDRES,13.5989151,124.0969685,1.0,0.0,0.0
2021-05-04,PANGANIBAN,13.9081674,124.30082,1.0,0.0,0.0
2021-05-04,BAGAMANOC,13.9396368,124.2878298,0.0,0.0,4.0
2021-05-04,VIRAC,13.5803594,124.2312028,2.0,0.0,0.0
2021-05-04,GIGMOTO,13.7786693,124.3911728,1.0,0.0,0.0
2021-05-05,BARAS,13.6591045,124.3704682,0.0,0.0,1.0
2021-05-05,BAGAMANOC,13.9396368,124.2878298,0.0,0.0,2.0
2021-05-06,PANGANIBAN,13.9081674,124.30082,6.0,0.0,0.0
