,Municipality/City,Province,Latitude,Longitude
437,Alegria,Cebu,9.7293873,123.3396747
438,Aloguinsan,Cebu,10.2225279,123.5485072
439,Argao,Cebu,9.8813917,123.6085598
440,Asturias,Cebu,10.5677403,123.7160037
441,Badian,Cebu,9.870125,123.3989791
442,Balamban,Cebu,10.504892,123.7148228
443,Bantayan,Cebu,11.1666905,123.7188816
444,Barili,Cebu,10.116537,123.5093986
445,Bogo,Cebu,11.0512735,124.0035064
446,Boljoon,Cebu,9.6289389,123.4800179
447,Borbon,Cebu,10.8379222,124.0305935
448,Carcar,Cebu,10.1055552,123.6406685
449,Carmen,Cebu,10.5873302,124.0180859
450,Catmon,Cebu,10.723822,124.0137974
451,Cebu City,Cebu,10.2935639,123.9019209
452,Compostela,Cebu,10.4538391,124.0124753
453,Consolacion,Cebu,10.3760149,123.9568892
454,Cordova,Cebu,10.2526205,123.9495975
455,Daanbantayan,Cebu,11.2503512,123.999128
456,Dalaguete,Cebu,9.7619073,123.5334094
457,Danao,Cebu,10.5194879,124.0271297
458,Dumanjug,Cebu,10.0584038,123.4351815
459,Ginatilan,Cebu,9.5698839,123.3124232
460,Lapu-Lapu,Cebu,10.3127,123.9488
461,Liloan,Cebu,10.3998487,123.998762
462,Madridejos,Cebu,11.2962076,123.7329261
463,Malabuyoc,Cebu,9.6506355,123.3244023
464,Mandaue,Cebu,10.33,123.93
465,Medellin,Cebu,11.1283811,123.9615625
466,Minglanilla,Cebu,10.2458552,123.7961275
467,Moalboal,Cebu,9.9372185,123.3921896
468,Naga,Cebu,10.2084724,123.7590963
469,Oslob,Cebu,9.5204466,123.4335205
470,Pilar,Cebu,10.8066721,124.5651739
471,Pinamungajan,Cebu,10.2699726,123.5840189
472,Poro,Cebu,10.628765,124.4073439
473,Ronda,Cebu,10.0012191,123.4092523
474,Samboan,Cebu,9.5289902,123.3071174
475,San Fernando,Cebu,10.1629017,123.7073793
476,San Francisco,Cebu,10.6459183,124.3817679
477,San Remigio,Cebu,11.0835479,123.9366262
478,Santa Fe,Cebu,11.1537949,123.8068632
479,Santander,Cebu,9.4170689,123.3351935
480,Sibonga,Cebu,10.0173783,123.6204663
481,Sogod,Cebu,10.75,124
482,Tabogon,Cebu,10.9398633,124.0277378
483,Tabuelan,Cebu,10.822884,123.8723508
484,Talisay,Cebu,10.2430205,123.8488245
485,Toledo,Cebu,10.3749385,123.6344069
486,Tuburan,Cebu,10.7285353,123.8254215
487,Tudela,Cebu,10.6362844,124.4700002
488,Alamada,Cotabato,7.3797893,124.5565375
489,Aleosan,Cotabato,7.1585808,124.5774001
490,Antipas,Cotabato,7.2475903,125.0550521
491,Arakan,Cotabato,7.3522459,125.1281821
492,Banisilan,Cotabato,7.5040807,124.6946327
493,Carmen,Cotabato,7.2045108,124.795371
494,Kabacan,Cotabato,7.1082804,124.8233377
495,Kadayangan,Cotabato,7.1229571,124.4766077
496,Kapalawan,Cotabato,7.2421239,124.7911088
497,Kidapawan,Cotabato,7.0095784,125.0905037
498,Libungan,Cotabato,7.2417,124.5175504
499,Ligawasan,Cotabato,6.9940862,124.7040135
500,M'lang,Cotabato,6.9465677,124.8792219
501,Magpet,Cotabato,7.102802,125.1247716
502,Makilala,Cotabato,6.9591335,125.089577
503,Malidegao,Cotabato,7.0607003,124.6773791
504,Matalam,Cotabato,7.0897351,124.9022956
505,Midsayap,Cotabato,7.1900605,124.5333614
506,Nabalawag,Cotabato,7.1032855,124.4923617
507,Old Kaabakan,Cotabato,7.2328881,124.8447114
508,Pahamuddin,Cotabato,7.1690707,124.3640166
509,Pigcawayan,Cotabato,7.2785835,124.424275
510,Pikit,Cotabato,7.0537358,124.6722475
511,President Roxas,Cotabato,7.1577578,125.0513245
512,Tugunan,Cotabato,7.0451866,124.6164151
513,Tulunan,Cotabato,6.8300214,124.8736479
514,Compostela,Davao de Oro,7.6675008,126.0856272
515,Laak,Davao de Oro,7.818882,125.7917332
516,Mabini,Davao de Oro,7.3084474,125.8534216
517,Maco,Davao de Oro,7.368797,125.8556637
518,Maragusan,Davao de Oro,7.3176458,126.1226535
519,Mawab,Davao de Oro,7.5076424,125.9207138
520,Monkayo,Davao de Oro,7.8239526,126.0536908
521,Montevista,Davao de Oro,7.7030449,125.9879183
522,Nabunturan,Davao de Oro,7.6021804,125.9687792
523,New Bataan,Davao de Oro,7.5480137,126.1371638
524,Pantukan,Davao de Oro,7.1268151,125.8971404
525,Asuncion,Davao del Norte,7.5382999,125.753854
526,Braulio E. Dujali,Davao del Norte,7.4509652,125.6883181
527,Carmen,Davao del Norte,7.3556822,125.7044546
528,Kapalong,Davao del Norte,7.5855037,125.7076466
529,New Corella,Davao del Norte,7.5860365,125.8225661
530,Panabo,Davao del Norte,7.29987,125.6807086
531,Samal,Davao del Norte,7.0780265,125.7120437
532,San Isidro,Davao del Norte,7.7477827,125.7278488
533,Santo Tomas,Davao del Norte,7.532835,125.6232185
534,Tagum,Davao del Norte,7.4470784,125.8094853
535,Talaingod,Davao del Norte,7.6325607,125.5751491
536,Bansalan,Davao del Sur,6.7869339,125.2108071
537,Davao City,Davao del Sur,7.0648306,125.6080623
538,Digos,Davao del Sur,6.7440957,125.3555319
539,Hagonoy,Davao del Sur,6.6884647,125.2972001
540,Kiblawan,Davao del Sur,6.6206059,125.2542074
541,Magsaysay,Davao del Sur,6.7517369,125.1504638
542,Malalag,Davao del Sur,6.5918589,125.4008825
543,Matanao,Davao del Sur,6.709707,125.2170514
544,Padada,Davao del Sur,6.6388664,125.3419089
545,Santa Cruz,Davao del Sur,6.8336118,125.4152375
546,Sulop,Davao del Sur,6.5966959,125.3449838
